Application,LUT,LUTRAM,FF,BRAM,URAM,DSP,IO,GT,BUFG,MMCM,PLL,PCIe,Acv Frq
JAC-2D ROW,64.77%,18.12%,48.03%,29.84%,26.67%,47.36%,2.56%,66.67%,3.97%,25.00%,4.17%,16.67%,298.6
JAC-2D ITR-U,61.86%,16.81%,47.85%,34.50%,23.33%,40.41%,2.56%,66.67%,3.97%,25.00%,4.17%,16.67%,251
JAC-2D ITR-A,66.43%,16.80%,52.80%,36.09%,26.67%,46.18%,2.56%,66.67%,3.97%,25.00%,4.17%,16.67%,264
