"grid_size","handcoded_u280","codegen_u280","handcoded_vck5000","codegen_vck5000"
"30x30x30","198.534034","267.576647","233.373237","298.014341"
"50x50x50","261.62304","355.140541","297.175643","346.249198"
"75x75x75","321.280069","534.322221","360.726455","494.668814"
"100x100x100","356.873078","576.435324","400.774831","518.645298"
"150x150x150","397.609239","690.115837","445.662221","602.779035"
"200x200x200","404.047206","759.054092","452.599619","652.233288"
"250x250x250","421.026631","805.260174","471.605572","684.841446"
