"grid_size",num_elements,"codegen_u280"
"30x30",900,"9230.41"
"60x60",3600,"9953.85"
"100x100",10000,"10991"
"200x100",20000,"14762.6"
"200x200",40000,"24410.4"
"300x150",45000,"27092.7"
"300x300",90000,"48277.8"
"400x200",80000,"45607.5"
"400x300",120000,"64879.1"
"400x400",160000,"85488"
"400x425",170000,"92683.1"
"400x350",140000,"74529.6"
"400x375",150000,"79267.9"
"300x350",105000,"55228.9"
"300x375",112500,"58753.2"
"300x400",120000,"62266.4"
"300x425",127500,"65801.7"
"300x450",135000,"69373.1"
"300x475",142500,"72866.9"
"300x500",150000,"76349.6"
"300x525",157500,"80607.6"
"300x550",165000,"85870.1"
,,
