"grid_size",cgen_DATCPY_1B,cgen_DATCPY_10B,cgen_DATCPY_20B,cgen_DATCPY_50B,cgen_DATCPY_100B,cgen_LOOP_1B,cgen_LOOP_10B,cgen_LOOP_20B,cgen_LOOP_50B,cgen_DATCPY_1B_1000B_pow,cgen_DATCPY_10B_1000B_pow,cgen_DATCPY_20B_1000B_pow,cgen_DATCPY_50B_1000B_pow,cgen_DATCPY_100B_1000B_pow,cgen_LOOP_1B_1000B_pow,cgen_LOOP_10B_1000B_pow,cgen_LOOP_20B_1000B_pow,cgen_LOOP_50B_1000B_pow
"30x30",41.6746343,279.188287,416.368348,589.33159,681.042493,46.0007966,443.508705,592.181148,715.878772,0.625714118,0.100892241,0.093735252,0.050635314,0.091778754,0.644219683,0.071001702,0.089373906,0.08063192
"60x60",129.442606,594.314699,741.241642,867.782888,922.694301,164.893496,812.001226,882.579066,,0.474051182,0.200927684,0.143698049,0.143123424,0.141626695,0.396743411,0.141476101,0.141808795,
"100x100",267.706774,778.210822,872.113608,938.954374,964.326972,393.123297,902.129916,,,0.767120312,0.422770516,0.441215646,0.455621404,0.393652049,0.617529299,0.382812235,,
"200x100",377.224002,911.241557,986.734526,1038.29709,1057.17837,623.724076,,,,1.245979757,0.725629944,0.737358326,0.712445165,0.755620406,0.956415721,,,
"200x200",568.395742,1004.63157,1049.16755,1078.50611,1088.54142,844.260635,,,,2.023915215,1.487058663,1.467832871,1.43589752,1.419372305,1.647093183,,,
"300x150",559.085483,1019.26022,1067.93153,1100.2841,1111.35355,837.621785,,,,2.161696167,1.769837596,0.229371679,1.575888,0.221114537,1.822423774,,,
"300x300",750.316263,1080.26601,1108.02983,1125.02184,1130.7878,967.146886,,,,3.545342086,2.973657797,2.513493119,3.191385353,2.660878103,3.470721797,,,
