"grid_size",cgen_DATCPY_1B,cgen_DATCPY_10B,cgen_DATCPY_50B,cgen_DATCPY_1B_1000B_pow,cgen_DATCPY_10B_1000B_pow,cgen_DATCPY_50B_1000B_pow
"30x30x30",321.794256,598.378855,652.202844,2.833685608,1.574254023,1.390381446
"50x50x50",385.516026,562.899123,589.054162,10.00248547,7.310906843,6.972047995
"100x100x100",566.986782,693.179417,707.978342,55.72983534,47.05271856,46.22391503
"150x150x150",651.549609,744.98818,,165.7150271,147.7892572,
"200x200x200",699.576333,,,368.3198665,,
"250x250x250",730.868791,,,688.8045916,,
"300x300x300",752.725753,,,1159.992202,,
